2025-04-01 09:57:14,293 - INFO - System Monitor: Starting system monitoring...
2025-04-01 09:57:14,296 - INFO - CPU: Usage: 0.0%
2025-04-01 09:57:14,296 - INFO - Memory: Usage: 44.4%
2025-04-01 09:57:14,366 - INFO - System Info: Hostname: 10PC324
2025-04-01 09:57:14,367 - INFO - System Info: Operating System: Windows 10
2025-04-01 09:57:14,484 - INFO - Software: PID: 9404, Name: powershell.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,484 - INFO - Software: PID: 9408, Name: StartMenuExperienceHost.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,485 - INFO - Software: PID: 9732, Name: RuntimeBroker.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,485 - INFO - Software: PID: 9788, Name: conhost.exe, Username; NT SERVICE\MSSQLFDLauncher$SQLEXPRESS
2025-04-01 09:57:14,486 - INFO - Software: PID: 9892, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,487 - INFO - Software: PID: 9936, Name: UserOOBEBroker.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,487 - INFO - Software: PID: 10052, Name: SearchIndexer.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,488 - INFO - Software: PID: 10212, Name: SearchApp.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,488 - INFO - Software: PID: 10232, Name: Code.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,490 - INFO - Software: PID: 10524, Name: NisSrv.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,491 - INFO - Software: PID: 10532, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,492 - INFO - Software: PID: 10584, Name: dllhost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,493 - INFO - Software: PID: 10664, Name: svchost.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,494 - INFO - Software: PID: 10700, Name: SecurityHealthSystray.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,494 - INFO - Software: PID: 10704, Name: EVKey.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,495 - INFO - Software: PID: 11140, Name: ShellExperienceHost.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,495 - INFO - Software: PID: 11148, Name: runplugin.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,495 - INFO - Software: PID: 11156, Name: runplugin.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,496 - INFO - Software: PID: 11168, Name: StudentUI.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,496 - INFO - Software: PID: 11200, Name: Runplugin64.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,497 - INFO - Software: PID: 11208, Name: notepad.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,498 - INFO - Software: PID: 11348, Name: CompPkgSrv.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,498 - INFO - Software: PID: 11400, Name: Code.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,499 - INFO - Software: PID: 11404, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,500 - INFO - Software: PID: 11636, Name: RevitAccelerator.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,500 - INFO - Software: PID: 11696, Name: acwebbrowser.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,501 - INFO - Software: PID: 11732, Name: RtkAudUService64.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,501 - INFO - Software: PID: 11740, Name: SU10Guard.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,502 - INFO - Software: PID: 11804, Name: chrome.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,502 - INFO - Software: PID: 11864, Name: DefenderDaemon.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,502 - INFO - Software: PID: 11932, Name: RtkNGUI64.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,503 - INFO - Software: PID: 12112, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,504 - INFO - Software: PID: 12152, Name: AutodeskDesktopApp.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,504 - INFO - Software: PID: 12180, Name: acwebbrowser.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,504 - INFO - Software: PID: 12404, Name: Runplugin64.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,505 - INFO - Software: PID: 12568, Name: acmkmgr.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,505 - INFO - Software: PID: 12600, Name: wmedsrv.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,509 - INFO - Software: PID: 12608, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,510 - INFO - Software: PID: 12688, Name: AdobeIPCBroker.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,511 - INFO - Software: PID: 12708, Name: UltraCpy.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,512 - INFO - Software: PID: 12844, Name: UltraNst.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,512 - INFO - Software: PID: 12852, Name: chrome.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,513 - INFO - Software: PID: 12928, Name: sldworks_fs.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,513 - INFO - Software: PID: 12984, Name: conhost.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,514 - INFO - Software: PID: 13116, Name: ScrollWall.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,515 - INFO - Software: PID: 13180, Name: NSSilence.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,515 - INFO - Software: PID: 13256, Name: RuntimeBroker.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,516 - INFO - Software: PID: 13380, Name: Code.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,516 - INFO - Software: PID: 13424, Name: Code.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,517 - INFO - Software: PID: 13656, Name: py.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,518 - INFO - Software: PID: 13948, Name: Code.exe, Username; 10PC324\Administrator
